Organ,Image name,Time,Animal,Name,Color,Series,Deviation,Mean,Max,Min,Sum,No. Pixels/Voxels,Hard Area/Volume ,SUV Peak by 1cm3,SUV Peak by 1cm3 ( g/ml )
Heart,CT( HU ),30m,R64,Heart_R64_30m,,"CTRecon,30m CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0",341.72,107.94,3484.0,-1000.0,39657600.0,367415,5.77,,
Heart,CT( HU ),30m,R65,Heart_R65_30m,,"CTRecon,30m CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0",319.35,174.21,3447.0,-835.0,46330600.0,265943,4.18,,
Heart,CT( HU ),30m,R68,Heart_R68_30m,,"CTRecon,30m CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0",316.85,95.29,3527.0,-946.0,25344200.0,265963,4.18,,
Heart,CT( HU ),30m,R67,Heart_R67_30m,,"CTRecon,30m CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0",290.98,30.43,3871.0,-1000.0,8047700.0,264495,4.15,,
Heart,CT( HU ),30m,R66,Heart_R66_30m,,"CTRecon,30m CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0",330.26,74.63,3842.0,-927.0,19742600.0,264527,4.16,,
Heart,CT( HU ),4h,R64,Heart_R64_4h,,"CTRecon,4h CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0",265.89,21.62,3367.0,-854.0,5763650.0,266549,4.19,,
Heart,CT( HU ),4h,R65,Heart_R65_4h,,"CTRecon,4h CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0",248.63,59.13,3521.0,-919.0,15777600.0,266831,4.19,,
Heart,CT( HU ),4h,R68,Heart_R68_4h,,"CTRecon,4h CT Scan (2),FBP,V250,Sl250,F:Cos,C100,M30,S0",307.61,114.06,3806.0,-995.0,30397200.0,266511,4.19,,
Heart,CT( HU ),4h,R67,Heart_R67_4h,,"CTRecon,4h CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0",288.76,89.62,3826.0,-934.0,23746400.0,264982,4.16,,
Heart,CT( HU ),4h,R66,Heart_R66_4h,,"CTRecon,4h CT Scan,FBP,V250,Sl250,F:Cos,C100,M30,S0",315.24,54.71,4074.0,-888.0,14568200.0,266260,4.18,,
Heart,NM( %ID/g ),30m,R64,Heart_R64_30m,,"30m_adjustHU_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC",0.5159,0.4376,2.96,0.03979,2.53,44202,5.79,,
Heart,NM( %ID/g ),30m,R65,Heart_R65_30m,,"30m_adjustHU_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC",0.3416,0.3847,1.83,0.01523,1.61,31954,4.18,,
Heart,NM( %ID/g ),30m,R68,Heart_R68_30m,,"30m_adjustHU_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC",0.5169,0.5062,2.57,0.04358,2.12,31956,4.18,,
Heart,NM( %ID/g ),30m,R66,Heart_R66_30m,,"30m_adjustHU_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC",0.4626,0.4823,2.89,0.04221,2.02,31976,4.19,,
Heart,NM( %ID/g ),4h,R64,Heart_R64_4h,,"4h_adjustHU_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC",0.5437,0.4513,2.75,0.01536,1.89,31933,4.18,,
Heart,NM( %ID/g ),4h,R65,Heart_R65_4h,,"4h_adjustHU_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC",0.4156,0.4337,2.11,0.02351,1.82,31972,4.19,,
Heart,NM( %ID/g ),4h,R68,Heart_R68_4h,,"4h_adjustHU_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC",0.513,0.4394,2.84,0.01654,1.84,31959,4.19,,
Heart,NM( %ID/g ),4h,R66,Heart_R66_4h,,"4h_adjustHU_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC",0.4371,0.387,2.6,0.01163,1.62,31934,4.18,,
Heart,NM( SUVbw ),30m,R67,Heart_R67_30m,,"30m_adjustHU_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC",0.9559,0.9502,5.54,0.06555,0.8258,31947,4.18,,0.0
Heart,NM( SUVbw ),4h,R67,Heart_R67_4h,,"4h_adjustHU_TT3Dnd5pMM Reg:Me,Res128,It48,S3,Q:Me+AC",0.8792,0.7991,5.07,0.02441,0.4558,31958,4.18,,0.0
