"FUJIFILM VisualSonics Measurement Export"
"Institution",""
"Report Date","02/05/2025"

"Version Information"
"Company Name","Model","SW Version","SW Build","Report Version"
"FUJIFILM VisualSonics, Inc.","Vevo LAB","5.9.0","3539","8"

"Study","1"
"Study Name","JM_InVivo2_WholeHeart_20Gy_Blinded"
"Owner User Name","Administrator"
"Granting Institution",""
"Study Date","27/08/2024"
"Study Time","17:48:21"
"Study Notes",""


"Series Name","100"
"Acquired By","Jenasee"
"Series Date","21/11/2024"
"Series Time","23:30:17"
"Animal ID",""
"Sex",""
"Series Notes",""
"Application",""
"Measurement Package",""
"Color",""
"Strain",""
"Source",""
"Weight",""
"Type",""
"Date of Birth",""
"Temperature",""
"Heart Rate",""
"Anesthetic Type",""
"Anesthetic On",""
"Anesthetic Off",""
"Protocol ID",""
"Protocol Name",""
"Injectable",""
"Injection Site",""
"Injection Amount",""



"Measurement File","VSI_CardiacPackage.sxml"
"Measurement Version","5"
"Measurement Description","Cardiac Package"

"Protocol Name","PSLAX M-Mode"
,,,
"Measurement","Mode","Parameter","Units","Avg","STD","Instance 1","Instance 2","Instance 3","Instance 4","Instance 5","Instance 6"
"IVS;d","M-Mode","Depth","mm","1.822810","7.954423E-02","1.794328","1.751606","1.965217","1.837050","1.751606","1.837050",
"IVS;s","M-Mode","Depth","mm","3.004788","0.116739","3.075991","3.033269","3.161436","2.947825","2.990547","2.819659",
"LVID;d","M-Mode","Depth","mm","6.458158","4.994407E-02","6.493760","6.493760","6.365594","6.451038","6.451038","6.493760",
"LVID;s","M-Mode","Depth","mm","3.538814","0.151448","3.631379","3.588657","3.246880","3.631379","3.503213","3.631379",
"LVPW;d","M-Mode","Depth","mm","2.079142","0.084008","1.965217","2.093383","2.050661","2.050661","2.221549","2.093383",
"LVPW;s","M-Mode","Depth","mm","3.154315","0.119061","2.990547","3.118714","3.246880","3.118714","3.118714","3.332324",

Calculation,,Units,
"EF",,"%",75.459076,
"FS",,"%",45.203973,
"LV Mass",,"mg",887.273050,
"LV Mass (Corrected)",,"mg",709.818440,
"LV Vol;d",,"uL",212.853412,
"LV Vol;s",,"uL",52.236194,



