"FUJIFILM VisualSonics Measurement Export"
"Institution",""
"Report Date","02/05/2025"

"Version Information"
"Company Name","Model","SW Version","SW Build","Report Version"
"FUJIFILM VisualSonics, Inc.","Vevo LAB","5.9.0","3539","8"

"Study","1"
"Study Name","JM_InVivo2_WholeHeart_20Gy_Blinded"
"Owner User Name","Administrator"
"Granting Institution",""
"Study Date","27/08/2024"
"Study Time","17:48:21"
"Study Notes",""


"Series Name","98"
"Acquired By","Jenasee"
"Series Date","05/12/2024"
"Series Time","20:04:56"
"Animal ID",""
"Sex",""
"Series Notes",""
"Application",""
"Measurement Package",""
"Color",""
"Strain",""
"Source",""
"Weight",""
"Type",""
"Date of Birth",""
"Temperature",""
"Heart Rate",""
"Anesthetic Type",""
"Anesthetic On",""
"Anesthetic Off",""
"Protocol ID",""
"Protocol Name",""
"Injectable",""
"Injection Site",""
"Injection Amount",""



"Measurement File","VSI_GenericPackage.sxml"
"Measurement Version","0"
"Measurement Description","Generic Package"

,,,
"Measurement","Mode","Parameter","Units","Value"
"AutoLV 136","B-Mode","Heart Rate","BPM","402.955003",
"AutoLV 136","B-Mode","Area","mm2","39.227536",
"AutoLV 136","B-Mode","Area;s","mm2","35.523185",
"AutoLV 136","B-Mode","Area;d","mm2","71.652443",
"AutoLV 136","B-Mode","Volume","uL","113.319948",
"AutoLV 136","B-Mode","Volume;s","uL","95.106410",
"AutoLV 136","B-Mode","Volume;d","uL","316.792977",
"AutoLV 136","B-Mode","Stroke Volume","uL","221.686566",
"AutoLV 136","B-Mode","Ejection Fraction","%","69.978372",
"AutoLV 136","B-Mode","Fractional Shortening","%","15.578962",
"AutoLV 136","B-Mode","Cardiac Output","mL/min","89.329711",
"AutoLV 136","B-Mode","Cycles","","3.000000",


