"FUJIFILM VisualSonics Measurement Export"
"Institution",""
"Report Date","24/04/2025"

"Version Information"
"Company Name","Model","SW Version","SW Build","Report Version"
"FUJIFILM VisualSonics, Inc.","Vevo LAB","5.9.0","3539","8"

"Study","1"
"Study Name","JM_InVivo2_WholeHeart_20Gy_Blinded"
"Owner User Name","Administrator"
"Granting Institution",""
"Study Date","27/08/2024"
"Study Time","17:48:21"
"Study Notes",""


"Series Name","7"
"Acquired By","Jenasee"
"Series Date","05/03/2025"
"Series Time","21:24:20"
"Animal ID",""
"Sex",""
"Series Notes",""
"Application",""
"Measurement Package",""
"Color",""
"Strain",""
"Source",""
"Weight",""
"Type",""
"Date of Birth",""
"Temperature",""
"Heart Rate",""
"Anesthetic Type",""
"Anesthetic On",""
"Anesthetic Off",""
"Protocol ID",""
"Protocol Name",""
"Injectable",""
"Injection Site",""
"Injection Amount",""



"Measurement File","VSI_CardiacPackage.sxml"
"Measurement Version","5"
"Measurement Description","Cardiac Package"

"Protocol Name","PSLAX M-Mode"
,,,
"Measurement","Mode","Parameter","Units","Avg","STD","Instance 1","Instance 2","Instance 3","Instance 4","Instance 5","Instance 6"
"IVS;d","M-Mode","Depth","mm","1.800718","8.679081E-02","1.833759","1.833759","1.883320","1.784198","1.833759","1.635515",
"IVS;s","M-Mode","Depth","mm","3.023224","0.150326","2.775419","2.924102","3.023224","3.122346","3.122346","3.171907",
"LVID;d","M-Mode","Depth","mm","7.368076","0.194912","7.582840","7.335035","7.235913","7.384596","7.087230","7.582840",
"LVID;s","M-Mode","Depth","mm","4.287031","0.135729","4.410933","4.311811","4.113567","4.460494","4.262250","4.163128",
"LVPW;d","M-Mode","Depth","mm","1.808978","8.143711E-02","1.883320","1.833759","1.833759","1.734637","1.883320","1.685076",
"LVPW;s","M-Mode","Depth","mm","3.006703","8.093285E-02","3.072785","2.973663","3.122346","2.924102","3.023224","2.924102",

Calculation,,Units,
"EF",,"%",71.227124,
"FS",,"%",41.816140,
"LV Mass",,"mg",971.861519,
"LV Mass (Corrected)",,"mg",777.489215,
"LV Vol;d",,"uL",286.649574,
"LV Vol;s",,"uL",82.477327,



