"FUJIFILM VisualSonics Measurement Export"
"Institution",""
"Report Date","02/05/2025"

"Version Information"
"Company Name","Model","SW Version","SW Build","Report Version"
"FUJIFILM VisualSonics, Inc.","Vevo LAB","5.9.0","3539","8"

"Study","1"
"Study Name","JM_InVivo2_WholeHeart_20Gy_Blinded"
"Owner User Name","Administrator"
"Granting Institution",""
"Study Date","27/08/2024"
"Study Time","17:48:21"
"Study Notes",""


"Series Name","125"
"Acquired By","Jenasee"
"Series Date","07/02/2025"
"Series Time","18:40:47"
"Animal ID",""
"Sex",""
"Series Notes",""
"Application",""
"Measurement Package",""
"Color",""
"Strain",""
"Source",""
"Weight",""
"Type",""
"Date of Birth",""
"Temperature",""
"Heart Rate",""
"Anesthetic Type",""
"Anesthetic On",""
"Anesthetic Off",""
"Protocol ID",""
"Protocol Name",""
"Injectable",""
"Injection Site",""
"Injection Amount",""



"Measurement File","VSI_GenericPackage.sxml"
"Measurement Version","0"
"Measurement Description","Generic Package"

,,,
"Measurement","Mode","Parameter","Units","Value"
"AutoLV 169","B-Mode","Heart Rate","BPM","397.350993",
"AutoLV 169","B-Mode","Area","mm2","63.460549",
"AutoLV 169","B-Mode","Area;s","mm2","32.321568",
"AutoLV 169","B-Mode","Area;d","mm2","67.442597",
"AutoLV 169","B-Mode","Volume","uL","268.122098",
"AutoLV 169","B-Mode","Volume;s","uL","84.930893",
"AutoLV 169","B-Mode","Volume;d","uL","293.181904",
"AutoLV 169","B-Mode","Stroke Volume","uL","208.251011",
"AutoLV 169","B-Mode","Ejection Fraction","%","71.031332",
"AutoLV 169","B-Mode","Fractional Shortening","%","17.547039",
"AutoLV 169","B-Mode","Cardiac Output","mL/min","82.748746",
"AutoLV 169","B-Mode","Cycles","","3.000000",


